tweetDate,content,twitterProfile,tweetUrl,timestamp,query,parsed_tweetDate,date_only
Sun Jul 26 09:39:49 +0000 2020,"""Edo gizonak konpontzen ditugu edo emakumeak armatzen ditugu""
Milaka lagun elkartu ziren (emakumeak buruan) aste honetan Jordaniako kaleetan, 30 urteko #Ahlam-en ""ohore krimena"" salatzeko.
#صرخات_احلام 
#JusticeforAhlam",https://twitter.com/yaskmaansri,https://twitter.com/yaskmaansri/status/1287321716734205957,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-26 09:39:49+00:00,2020-07-26
Thu Jul 23 14:54:27 +0000 2020,"صرخة احلام

اذا لم توقظ هذه الجريمة البشعة والنكراء انسانيتنا من يوقظها؟ مجتمع يتعامل مع المرأة بهذه القسوة وبهذا التواطؤ  لن ينهض ولن يدافع عن نفسه امام العنف البنيوي الذي يمارس على الذكور قبل الاناث من قبل المؤسسات. كما الحرية لا يمكن تجزئتها وكذلك العبودية.#صرخات_احلام",https://twitter.com/barari_hassan,https://twitter.com/barari_hassan/status/1286313734055616514,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-23 14:54:27+00:00,2020-07-23
Thu Jun 17 14:49:03 +0000 2021,"عام 2020 قتلت في الاردن 17 امرأة على يد احد افراد الاسرة اما اب او زوج او اخ ...
17 ضحية ولم يتغير القانون لحماية المرأة ...
وما يزال الحبل عالجرار ...كم امراة تتعرض للتعنيف والضرب والتنكيل ولا أحد يجرؤ على الشكوى ...
#رانيا_العبادي
#صرخات_احلام",https://twitter.com/hana_ali97,https://twitter.com/hana_ali97/status/1405537984129093649,2025-04-08T12:22:31.500Z,#صرخات_احلام,2021-06-17 14:49:03+00:00,2021-06-17
Wed Jul 22 19:47:19 +0000 2020,"""الكرة اليوم بملعب القانون وبخانة إسقاط الحق الشخصي من قانون الأحوال الشخصية، اللي بتقدم طبق ذهب لكل معنف بقتل بنته أو زوجته!""

#أوقفوا_قتل_النساء 
#صرخات_الأردنيات
#صرخات_أحلام https://t.co/0irMzqXe8k",https://twitter.com/Raseef22,https://twitter.com/Raseef22/status/1286025047811985408,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-22 19:47:19+00:00,2020-07-22
Sat Aug 07 13:13:34 +0000 2021,"#القصاص_من_قاتل_روان  
#فتاة_حسكه 
#القصاص_للدكتوره_ياسمين 
#اسراء_غريب 
#القصاص_من_قاتل_شادية 
#صرخات_أحلام 
والقائمة تطول.. والسؤال إلى متى؟ 

بدون ثقافة سليمة، دولة منصفة عادلة وبيئة ترفض العنف وتنبذه بأعلى المستويات لن نصل إلى مرحلة تعيش فيها النساء بأمان حتى في بيوتهن!",https://twitter.com/SarahTpj,https://twitter.com/SarahTpj/status/1423995734794330112,2025-04-08T12:22:31.500Z,#صرخات_احلام,2021-08-07 13:13:34+00:00,2021-08-07
Thu Jul 23 18:08:20 +0000 2020,"My latest in-depth piece on the recent murder of Ahlam in Jordan and the urgent need for tougher penalties for men who murder their female relatives in the name of honour for @The_NewArab #صرخات_احلام #اوقفو_قتل_النساء #صرخات_النساء 

https://t.co/4P48pzRm4d",https://twitter.com/UNDERYOURABAYA,https://twitter.com/UNDERYOURABAYA/status/1286362524837908480,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-23 18:08:20+00:00,2020-07-23
Thu Jul 23 19:30:34 +0000 2020,"بعرف انه أغلبكم غير مهتم بالمظاهرات لأنكم الحمدالله عايشين ضمن عائلات طبيعية لكن في الواقع في نساء قاعدة عم تسمع عن هالمظاهرات والحراك الي قاعد يصير وعم يتمنوا من كل قلبهم انكم تعملوا تغيير حقيقي عشان يقدروا يكملوا حياتهم ويعيشوا حياة طبيعية.

 #صرخات_احلام
#صرخات_الأردنيات",https://twitter.com/YazanShawish,https://twitter.com/YazanShawish/status/1286383220527960064,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-23 19:30:34+00:00,2020-07-23
Sat Jul 25 08:32:50 +0000 2020,#صرخات_احلام قلبي على وجع النساء!,https://twitter.com/nusaibah_A,https://twitter.com/nusaibah_A/status/1286942475228250112,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-25 08:32:50+00:00,2020-07-25
Fri Jul 24 09:26:33 +0000 2020,"Please read &amp; share my article &amp; raise awareness about the murder of Ahlam by her father as activists in Jordan are working hard to make sure men who murder in the name of “honour” receive tougher penalties, not reduced sentences 

#صرخات_احلام #اوقفوا_قتل_النساء #صرخات_النساء",https://twitter.com/UNDERYOURABAYA,https://twitter.com/UNDERYOURABAYA/status/1286593605336006656,2025-04-08T12:22:31.500Z,#صرخات_احلام,2020-07-24 09:26:33+00:00,2020-07-24
Fri Jul 24 13:49:36 +0000 2020,"""ماتت ودفنت لوحدها . لم نعرف حتى شكلها "". 
ستصبح قصة مثل #اسراء_غريب #مادلين_جرابعة #نورا_السعيد .  #صرخات_احلام",https://twitter.com/bataleh,https://twitter.com/bataleh/status/1286659801410404352,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-24 13:49:36+00:00,2020-07-24
